id,name,phone,createdAt
cmsyoovmt0007v3qo0yf3pvbd,"Sub-Inspector Police - K. Yadagiri",919492359110,2026-08-18T13:13:57.029Z
cmsyoovs60008v3qoy7xlbuqc,"Sub-Inspector Police - C. Yadavareddy",918555872362,2026-08-18T13:13:57.223Z
cmsyoovy60009v3qo5l8o7q3i,"Sub-Inspector Police - M. Lakshmaiah",918712580129,2026-08-18T13:13:57.438Z
cmsyoowa3000bv3qo65hosfxz,"Bhongir Rural CI Police",919440795642,2026-08-18T13:13:57.867Z
cmswz7zoz0004l104ajr8q7h4,"సౌమ్య రెడ్డి",919876543210,2026-08-17T08:33:12.563Z
cmsyoov4x0004v3qoxkkrsos5,"She Team Police Helpline",919490617111,2026-08-18T13:13:56.385Z
cmsyooufv0000v3qoffrcgp92,"Emergency Police Control Room - Police Helpline",100,2026-08-18T13:13:55.482Z
cmsyooum50001v3qo6b99y8cq,"Emergency Ambulance Services (108) - Ambulance Helpline",108,2026-08-18T13:13:55.709Z
cmsyoousy0002v3qochbm85fe,"Fire Station Emergency (101) - Fire Station Helpline",101,2026-08-18T13:13:55.955Z
cmsyoouyu0003v3qo9pqvsg01,"Arogyasri Medical Helpline (104) - Arogyasri Helpline",104,2026-08-18T13:13:56.166Z
cmsyoox97000hv3qo30aakeik,"AO Collectorate Yadadri Bhongir - John Mohan",918331997006,2026-08-18T13:13:59.131Z
cmsyoowg0000cv3qo7e6a0qy0,"District Collector - Hanumanthu Rao",918331997001,2026-08-18T13:13:58.081Z
cmsyoowlk000dv3qocc3q6ot9,"Joint Collector - Ravi Gupta",918331997002,2026-08-18T13:13:58.281Z
cmsyoowr6000ev3qotjcn711z,"DRO - R. Mahendar Reddy",918331997003,2026-08-18T13:13:58.483Z
cmsyoowx0000fv3qoguh602jn,"RDO Bhongir - M.V. Bhupal Reddy",918331997004,2026-08-18T13:13:58.692Z
cmsyoox37000gv3qoehz8ezj1,"RDO Choutuppal - V. Shekhar Reddy",918331997005,2026-08-18T13:13:58.915Z
cmsyooxeu000iv3qozuwjive2,"Tahsildar Choutuppal - Veerabai",918331997020,2026-08-18T13:13:59.334Z
cmsyooxkd000jv3qobd1071a8,"Deputy Tahsildar - P. Siddhartha",919505267778,2026-08-18T13:13:59.534Z
cmsyooxq9000kv3qok966kawm,"MPDO Officer - Bojja Sandeep Kumar",919989059012,2026-08-18T13:13:59.746Z
cmsyooxw2000lv3qottd4avnc,"District Agriculture Officer - D. Srinivas Kumar",918221997016,2026-08-18T13:13:59.955Z
cmsyooy1b000mv3qor98qrknw,"AE Panchayati Raj - Y. Nithish Kumar",919121136770,2026-08-18T13:14:00.144Z
cmsyooy6z000nv3qorxaj6f8z,"CPO Officer - G. Jagadeesh",918897811393,2026-08-18T13:14:00.347Z
cmsyooycx000ov3qob1skgwzx,"Municipal Commissioner - Venugopal Reddy",919849905913,2026-08-18T13:14:00.561Z
cmsyooyif000pv3qokpeycobs,"District Medical Officer - Dr. Madhusudhan",919989997697,2026-08-18T13:14:00.759Z
cmsyooyo1000qv3qo4r0s5e0w,"Arogyasri Manager - K. Pramod",919333815944,2026-08-18T13:14:00.962Z
cmsyooyti000rv3qo33trpflw,"Agricultural Officer Choutuppal",917288894513,2026-08-18T13:14:01.159Z
cmsyooyyx000sv3qo8e4c6jyl,"Market Committee Secretary",917330733596,2026-08-18T13:14:01.354Z
cmsyooz4q000tv3qobjtdk54z,"Current Substation Choutuppal Emergency",919491065911,2026-08-18T13:14:01.563Z
cmsyoovat0005v3qojwl7z7u0,"Inspector Police - G. Manmadha Kumar",918712662481,2026-08-18T13:13:56.598Z
cmswz7y920000l10487y6sug1,"వెంకటేష్ గౌడ్",919441348175,2026-08-17T08:33:10.694Z
cmsyoow3v000av3qo2mhkxzda,"Bhongir Town CI Police",919440795645,2026-08-18T13:13:57.643Z
cmsyoovgp0006v3qoo5df21rj,"Sub-Inspector Police - N. Krishna Murthy",918771258018,2026-08-18T13:13:56.810Z
cmt415zwe0093v3ccmn7v7ec4,"Veterinary Hospital Assistant - Gode Rajesh",+919848010772,2026-08-22T07:02:01.982Z
cmt415zlc0090v3ccbol44bae,"Primary Health Center Medical Officer - Chintala Reddy",+919848010775,2026-08-22T07:02:01.584Z
cmt415zov0091v3ccxh5fuxv6,"Anganwadi Sector Supervisor - Gande Goud",+919848010774,2026-08-22T07:02:01.712Z
cmt415zt10092v3ccjwcpmr0h,"Public Works Department Officer - Nandikanti Balu",+919848010773,2026-08-22T07:02:01.861Z
cmt415zek008yv3cc601925t7,"Village Revenue Assistant VRA - Chilukuri Gupta",+919848010777,2026-08-22T07:02:01.341Z
cmt415zhy008zv3cc3zy1odh8,"Asha Health Worker Incharge - Gutta Rao",+919848010776,2026-08-22T07:02:01.463Z
cmsyop39a001hv3qo6qwwnzvc,"HDFC Bank Choutuppal Branch",919848730946,2026-08-18T13:14:06.911Z
cmsyop2tc001fv3qo4fxg2je8,"State Bank of India Choutuppal Main Branch - SBI Choutuppal Branch",08694272230,2026-08-18T13:14:06.336Z
cmsyr1imc0000v3tscp81ychw,"Traffic Police Station Choutuppal",917901133024,2026-08-18T14:19:45.923Z
cmsyoozfm000vv3qo60hrr4m7,"Transco Electrical AE - Power Emergency",919440813595,2026-08-18T13:14:01.955Z
cmsyoozl5000wv3qo2o990iqi,"Divisional Engineer DE OP Electricity",917901093658,2026-08-18T13:14:02.154Z
cmsyoozra000xv3qo1re6vgmb,"Assistant Engineer AOE OP Electricity",919440813567,2026-08-18T13:14:02.374Z
cmsyr1mqy0001v3ts05i9ys9d,"AAO Electricity Office Choutuppal",917901099602,2026-08-18T14:19:51.274Z
cmsyop02i000zv3qoteh46mvd,"MP Bhongir - Chamala Kiran Kumar Reddy",919908355699,2026-08-18T13:14:02.779Z
cmsyop08k0010v3qovszqcdyw,"MP Nalgonda - Gutta Amit Reddy",919989222288,2026-08-18T13:14:02.997Z
cmsyop0e60011v3qognwyeilx,"MLC Council - Teenmar Mallanna",919866524314,2026-08-18T13:14:03.199Z
cmsyop0jy0012v3qo1pzz9zge,"DCC President - Beerla Ailaiah",919948297777,2026-08-18T13:14:03.407Z
cmsyop0pl0013v3qopm4jfbu8,"Ex MLC Leader - Karne Prabhakar",919618883555,2026-08-18T13:14:03.609Z
cmsyop1100015v3qo6aryex06,"Ex ZPTC Leader - Chilukuri Prabhakar Reddy",919908899488,2026-08-18T13:14:04.020Z
cmsyop1dc0017v3qogoixk8y3,"Ex Municipal Chairman - Venreddy Raju",919848269754,2026-08-18T13:14:04.465Z
cmsyop1jb0018v3qotqbmgr9y,"Municipal Leader - Venkateshwar Nayak",919849904150,2026-08-18T13:14:04.679Z
cmsyop1p20019v3qo1xpe4oz3,"Public Leader - Ubbu Venkataiah",919848760477,2026-08-18T13:14:04.887Z
cmsyr1p3r0002v3tsy065wqdr,"Sarpanch Allapuram - Bethelli Manjula",918074164063,2026-08-18T14:19:54.328Z
